post_id,title,lead_quote,gist,draft_started,published_date,status,publication,path,tags,notes,chart_path,image_path
32,The Brits still get it right: From Monty Python to Philomena Cunk,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
33,Charlie Kirk: MAGA's Horst Wessel,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
34,"America Needs a ""Holiday Inn"" Plan",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
35,"Transparency, the core of Democracy",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
36,"Doctor Strangebelief, or How I Confirmed My Instincts and Learned to Embrace Atheism",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
37,The Title of Leader has to be Earned Every Day,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
38,Trumps Underhanded Paths to Retain Power,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
39,Trump's Antithesis of the Teddy Roosevelt Doctrine: Speak Loudly and Carry a twig.,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
40,Trumps 1960's country-club approach to immigration,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
41,Failing even the first rung of competency,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
42,Honest speaking out is the epitome of patriotism,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
43,The PDF proves the absurdity of Religion,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
44,"The world is burning, but for some reason we're off to the moon again.",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
45,The cowards of the climate community.,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
46,"Mommy, who's in the box?",NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
47,Anthropogenic Inertia,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
48,Rooftops are for more than Solar,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
49,Chokepoints and Diplomacy,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
50,May 2026 US jobs report: stronger than expected but misleading,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
51,What’s the ROI for our past decades of defense spending,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
52,Who’s your hero: The leadership report card for the current administration,NA,NA,NA,NA,unassigned,unassigned,NA,NA,NA,NA,NA
53,Example Post,NA,NA,2026-07-23,2026-07-23,drafting,unassigned,posts/2026/2026-07-23-example-post,example,Test post to verify document icon,NA,NA
54,An Antiquated 'Maginot Line' Approach to Foreign Policy,NA,NA,2026-07-25,NA,idea,unassigned,posts/2026/2026-07-25-an-antiquated-maginot-line-approach-to-foreign-policy,NA,NA,NA,NA
